CAND_ID|CAND_NAME|CAND_PTY_AFFILIATION|CAND_ELECTION_YEAR|CAND_ELECTION_STATE|CAND_ELECTION_TYPE|CAND_INCUMBENT_STATUS|CAND_PCC|CAND_ZIP|CAND_CITY|CAND_STATE
P80000409|DAYLONG, BLYTH WILLIAM|DEM|1988|US|P|C|C00208546|54956|NEENAH|WI
P80000425|SWINNEY, RICKEY LYNN|UNK|1988|US|P|C|C00208561|76140|FT WORTH|TX
P80000433|ROBERTSON, MARION GORDON (PAT)|REP|1988|US|P|C|C00218214|23463|VIRGINIA BEACH|VA
P80000441|BEASLEY, JAMES MERCER|IND|1988|US|P|C|C00209932|92041|LA MESA|CA
P80000458|CUOMO, MARIO|DEM|1992|US|P|C|||ALBANY|NY
P80000482|"LADNER, ROBERT DERWOOD ""BUCK"""|DEM|1988|US|P|C|C00211789|39560|LONG BEACH|MS
P80000490|CHILDERS, PEGGY ANN|DEM|1988|US|P|C|C00211169|24017|ROANOKE|VA
P80000508|WOODSON, ROBERT BERNARD|UNK|1988|US|P|C|C00211185|95966|OROVILLE|CA
P80000524|FREI, MICHAEL J|IND|1988|US|P|C|C00211367|48750|OSCODA|MI
P80000532|JONES, ALFONZO|DEM|1992|US|P|C|C00211771|48202|DETROIT|MI
P80000573|HOLMS, SEBASTIAN THOMAS JR|IND|1988|US|P|C|C00212282|48207|DETROIT|MI
P80000581|GEPHARDT, RICHARD A|DEM|1988|US|P|C|C00212365|20003|WASHINGTON|DC
P80000599|HAYNES, ROBERT BRYANT|UNK|1988|US|P|C|C00212464|27944|HERTFORD|NC
P80000607|DARNELL, SAMUEL DALE (VP)|UNK|1988|US|P|C|C00212472|27930|DURANTS NECK|NC
P80000623|FRIEDMAN, LOUIS JOSEPH|DEM|1988|US|P|C|C00212563|92270|RANCHO MIRAGE|CA
P80000656|BABBITT, BRUCE|DEM|1988|US|P|C|C00213017|85016|PHOENIX|AZ
P80000664|HAMBURG, MICHAEL LEE|DEM|1988|US|P|C|C00213116|82217|HAWK SPRINGS|WY
P80000672|HOFF, SAMUEL B DR|IND|1992|US|P|C|C00213306|19901|DOVER|DE
P80000706|RICKETTS, JAMES H SR|UNK|1988|US|P|C|C00213447|46206|INDIANAPOLIS|IN
P80000714|MEANS, RUSSELL|LIB|1988|US|P|C|C00213553|57772|PORCUPINE|SD
P80000730|MESSIAH (SITNICK, FRED IRWIN)|DEM|1992|US|P|C|C00213660|21117|OWINGS MILLS|MD
P80000748|PAUL, RONALD E|LIB|1990|US|P|C|C00213686|77566|LAKE JACKSON|TX
P80000755|FOSTER, GARY STEVEN|UNK|1988|US|P|C|C00213785|60601|CHICAGO|IL
P80000771|REAMS, BOB S|REP|1992|US|P|C|C00257022|48503|FLINT|MI
P80000789|DUKAKIS, MICHAEL S|DEM|1988|US|P|C|C00227629|02146|BROOKLINE|MA
P80000805|BUCHANAN, PATRICK J|REP|1992|US|P|C|C00256677|22182|VIENNA|VA
P80000813|DAVIS, GARRY|IND|1988|US|P|C|C00214080|20005|WASHINGTON|DC
P80000839|DECHERT, ALAN|DEM|1988|US|P|C|C00214122|94709|BERKELEY|CA
P80000847|HELLER, MILTON LOUIS|REP|1988|US|P|C|C00214130|33139|MIAMI BEACH|FL
P80000854|GUTIERREZ, DOLORES YOLANDA|DEM|1988|US|P|C|C00214205|94087|SUNNYVALE|CA
P80000870|FABISH, THOMAS S|REP|1992|US|P|C|C00214346|91412|PANORAMA CITY|CA
P80000888|SIMON, PAUL|DEM|1988|US|P|C|C00214742|62958|MAKANDA|IL
P80000896|PALEVEDA, CARL AUGUST|REP|1992|US|P|C|C00214486|33629|TAMPA|FL
P80000904|GEE, HOOVER MARK|REP|1996|US|P|C|C00214494|94108|SAN FRANCISCO|CA
P80000912|GORE, ALBERT JR|DEM|1988|US|P|C|C00214734|37030|CARTHAGE|TN
P80000920|BLACK, GUY TEMPLETON|UNK|1992|US|P|C||44113|CLEVELAND|OH
P80000953|GRIFFIN, GENE AUTRY|DEM|1988|US|P|C|C00214908|39213|JACKSON|MS
P80000979|LOCKWOOD, HENRY|IND|1992|US|P|C||54102|AMBERG|WI
P80000987|LITE, SNOW|DEM|1988|US|P|C|C00215103|27601|RALEIGH|NC
P80000995|HESLOP, KATHLEEN REBECCA|REP|1988|US|P|C|C00215400|39402|HATTIESBURG|MS
P80001001|HEM, EUGENE A|UNK|1988|US|P|C|C00215178|53014|CHILTON|WI
P80001027|GOODWIN, GREGORY IIAMS|UNK|1988|US|P|C|C00215301|96714|HANALEI|HI
P80001043|MILTON, JERRY ROGER|IND|1992|US|P|C|C00268086|32615|ALACHUA|FL
P80001050|DUKE, DAVID E|REP|1992|US|P|C|C00256735|70001|METAIRIE|LA
P80001092|APOLLO, MICK ZAGER|UNK|1988|US|P|C|C00215954|22101|MCLEAN|VA
P80001118|FULANI, LENORA B|DEM|1992|US|P|C|C00278614|10025|NEW YORK|NY
P80001126|CHILDS, BARRY WAYNE|IND|1992|US|P|C|C00215996|32935|MELBOURNE|FL
P80001134|HOLCOMB, MARGOT SIERRA|DEM|1992|US|P|C|C00252460|89119|LAS VEGAS|NV
P80001167|LITE, VANNA|DEM|1988|US|P|C|C00216085|27601|RALEIGH|NC
