CMTE_ID|CMTE_NAME|CMTE_DESIGN|CMTE_TYPE|CMTE_PTY_AFFILIATION|CAND_ID|CONNECTED_ORG_TYPE|CONNECTED_ORG_NAME|CMTE_LAT|CMTE_LONG|CMTE_ZIP|CMTE_CITY|CMTE_STATE
C00179382|SCHULTZ FOR CONGRESS|P|H|REP|H4KS04020|||37.963712|-97.12193|67154|WHITEWATER|KS
C00179408|MAINE DEMOCRATIC STATE COMMITTEE|U|Y|DEM|||BLANK|44.38045340000001|-69.7674396|04330|AUGUSTA|ME
C00179473|FIRST ALABAMA BANCSHARES INC POLITICAL ACTION COMMTTEE|U|Q|||C|FIRST ALABAMA BANCSHARES, INC.|33.52148017567568|-86.87121170270271|35202|BIRMINGHAM|AL
C00179499|MICHAEL LEE GRIFFITH FOR UNITED STATES PRESIDENCY COMMITTEE|P|P||P40001521|||39.041098899999994|-95.74326307499999|66604|TOPEKA|KS
C00179507|PRINCE GEORGE'S GOOD GOVERNMENT POLITICAL ACTION COMMITTEE|U|N|||M|NONE|38.90231957142857|-76.81168271428571|20715|BOWIE|MD
C00179523|MAINE FREEZE VOTER|U|Q|||M|FREEZE VOTER '84|44.211491|-69.80866|04345|GARDINER|ME
C00179556|LAWRENCE COUNTY NOW ORGANIZATION/WOMEN FOR POLITICAL ACTION|U|N|||M|NOW ORGANIZATION; LAWRENCE COUNTY|40.99503416666667|-80.33014966666667|16105|NEW CASTLE|PA
C00179564|DEMETRIOUS FOR CONGRESS COMMITTEE|P|H|DEM|H4SC06023|||34.140783000000006|-79.73312366666666|29501|FLORENCE|SC
C00179572|ELDREDGE FOR CONGRESS|P|H|REP|H4NH01045|||43.015756|-70.90192|03885|STRATHAM|NH
C00179614|IRISH NATIONAL CAUCUS POLITICAL ACTION COMMITTEE (IRISH PAC)|U|N|||C|IRISH NATIONAL CAUCUS|38.89531540217391|-77.01958254710144|20003|WASHINGTON|DC
C00179622|MCCAULEY FOR CONGRESS|P|H||H4MI02021|||42.370837|-83.4856|48170|PLYMOUTH|MI
C00179630|LOTH FOR CONGRESS COMMITTEE|P|H||H4PA04040|||41.025132|-80.45756|16116|EDINBURG|PA
C00179648|STANLEY RUSS CAMPAIGN COMMITTEE|P|H|DEM|H4AR02059|||35.090174000000005|-92.39706650000001|72032|CONWAY|AR
C00179689|FRIENDS OF NEIL ROMANO FOR CONGRESS COMMITTEE|P|H|REP|H4NJ09012|||40.92169|-73.96482|07670|TENAFLY|NJ
C00179705|FRIENDS OF DICK SASLAW|P|H||H4VA08034|||38.80418333333333|-77.24831822222221|22151|SPRINGFIELD|VA
C00179739|DUGAS FOR CONGRESS COMMITTEE|P|H|REP|H4TX02041|||30.109044666666666|-93.82560933333333|77630|ORANGE|TX
C00179747|MOORE FOR CONGRESS COMMITTEE|P|H|DEM|H4TN06069|||35.91246639999999|-86.8839802|37064|FRANKLIN|TN
C00179762|NYNEX FEDERAL POLITICAL ACTION COMMITTEE|U|Q|||C|NYNEX CORPORATION|40.76633930120482|-73.97691936746988|10017|NEW YORK|NY
C00179861|7TH C D DELEGATES FOR MONDALE|U|D||P40000267|||40.700068|-73.80986|11435|BRIARWOOD|NY
C00179879|SHARPE/JACKSON DELEGATES FOR MONDALE|U|D||P40000267|||40.924195|-73.82614|10552|MT VERNON|NY
C00179887|6TH C D DELEGATES FOR MONDALE|U|D||P40000267|||40.596959|-73.81978|11693|ROCKAWAY BEACH|NY
C00179895|9TH C D DELEGATES FOR MONDALE|U|D||P40000267|||40.706903|-73.82973|11415|NEW GARDENS|NY
C00179903|PARRISH FOR CONGRESS COMMITTEE|P|H|REP|H4CA23045|||33.94396584158416|-118.29928288118809|90031|LOS ANGELES|CA
C00179911|KULP FOR CONGRESS COMMITTEE|P|H|DEM|H4PA09015|||40.439272|-78.37421|16648|HOLLIDAYSBURG|PA
C00179978|DICK SINAPI FOR CONGRESS COMMITTEE|P|H|DEM|H4RI02016|||41.77090566666667|-71.47043000000001|02920|CRANSTON|RI
C00180000|AMERICAN STOCK EXCHANGE FEDERAL PAC (AMEX FED PAC)|U|Q|||T|AMERICAN STOCK EXCHANGE INC|40.76633930120482|-73.97691936746988|10006|NEW YORK|NY
C00180018|LABORERS INTERNATION UNION OF NORTH AMERICA AFL-CIO LOCAL 500 POLITICAL ACTION COMMITTEE|U|Q|||L|AFL-CIO|41.6749844857143|-83.52541554285715|43620|TOLEDO|OH
C00180026|KENTUCKY FREEZE VOTER|U|Q|||W|FREEZE VOTER '84|38.20007860606061|-85.68525571212122|40202|LOUISVILLE|KY
C00180042|NORTHEAST PENN POLITICAL ACTION COMMITTEE|U|Q|||M|BLANK|39.376879|-76.7287|21208|PIKESVILLE|MD
C00180067|MHM PAC|U|N|||M|MAYER HOFFMAN MCCANN|39.095393654320986|-94.49784748148147|64112|KANSAS CITY|MO
C00180075|WAGNER CASTINGS COMPANY POLITICAL ACTION COMMITTEE|U|Q|||C|WAGNER CASTINGS COMPANY|39.850448285714286|-88.96984757142856|62525|DECATUR|IL
C00180083|OTERO SAVINGS BETTER FEDERAL GOVERNMENT COMMITTEE|U|N|||C|OTERO SAVINGS & LOAN ASSOCIATION|38.839994|-104.67319639215685|80909|COLORADO SPRINGS|CO
C00180109|HONOLULU COUNTY COMMITTEE REPUBLICAN PARTY OF HAWAII|U|Y|REP|||REPUBLICAN PARTY OF HAWAII|23.99200566666667|-165.5305597777778|96825|HONOLULU|HI
C00180133|MONTANANS FOR BERGLAND|A|P|LIB|P40000846|||33.65485133333333|-117.86437733333332|92626|COSTA MESA|CA
C00180158|DELEGATE COMMITTEE FOR MONDALE 16TH CONGRESSIONAL DISTRICT|U|D||P40000267|||40.04298188888889|-76.30620744444445|17602|LANCASTER|PA
C00180190|NORTHERN NEW YORK DELEGATES FOR MONDALE|U|D||P40000267|||44.360566|-74.25801|12945|LAKE CLEAR|NY
C00180216|NAPLES-MONDALE FOR PRESIDENT-DELEGATE SLATE|U|D||P40000267|||42.853676|-73.78445|12065|CLIFTON PARK|NY
C00180224|8TH C D DELEGATES FOR MONDALE|U|D||P40000267|||40.778781|-73.77689033333334|11364|BAYSIDE|NY
C00180232|LOWER HUDSON DELEGATES FOR MONDALE|U|D||P40000267|||40.924195|-73.82614|10552|MT VERNON|NY
C00180240|BELL FOR CONGRESS|P|H||H4SD01013|||44.490529|-103.874135|57783|SPEARFISH|SD
C00180281|PHILIP J. HOLMES FOR CONGRESS|A|H||H4OH06017|||38.987596|-83.37752|45660|PEEBLES|OH
C00180307|HATCHETT FOR CONGRESS|P|H|DEM|H4KY01016|||36.854812|-88.33515|42025|BENTON|KY
C00180323|LANGSETH FOR CONGRESS|P|H||H4MN07010|||46.884481|-96.56301|56547|GLYNDON|MN
C00180349|DEMOCRAT, REPUBLICAN, INDEPENDENT, VOTER, EDUCATION - CHAPTER 71 PAC INT'L BHOOD TEAMSTERS|U|Q|||L|TEAMSTERS; INT'L BROTHERHOOD OF|35.24106722077923|-80.81472076623379|28225|CHARLOTTE|NC
C00180356|NORTHEAST SAVINGS, F A POLITICAL ACTION COMMITTEE (NESPAC)|U|N|||C|NORTHEAST SAVINGS, F.A.|41.786130416666666|-72.70431316666667|06103|HARTFORD|CT
C00180364|COMMITTEE FOR A LEVEL PLAYING FIELD|U|Q|||M||38.89531540217391|-77.01958254710144|20015|WASHINGTON|DC
C00180372|VINNELL CORPORATION POLITICAL ACTION COMMITTEE (VC PAC)|U|N|||C|VINNELL CORPORATION|38.83442477777778|-77.28774144444445|22030|FAIRFAX|VA
C00180380|15TH DISTRICT DELEGATES FOR MONDALE COMM|U|D||P40000267|||42.276688|-83.3786|48184|WAYNE|MI
C00180398|7TH CONGRESSIONAL DISTRICT MONDALE DELEGATES|U|D||P40000267|||39.949962|-75.30184|19026|DREXEL HILL|PA
C00180455|ENOCH H WILLIAMS FOR CONGRESS COMMITTEE|P|H|DEM|H4NY12011|||40.65091198076924|-73.95300596153847|11207|BROOKLYN|NY
C00180463|JAN MEYERS FOR CONGRESS COMMITTEE|P|H|REP|H4KS03014|||38.992255|-94.67528|66204|OVERLAND PARK|KS
C00180471|ROSEMARY THAKAR FOR CONGRESS|P|H|REP|H4CA07014|||37.856683|-122.02488|94507|ALAMO|CA
C00180489|ELKEM METALS COMPANY GOOD GOVERNMENT COMMITTEE|U|Q|||C|ELKEMS METALS COMPANY|40.43987933333333|-80.00114248717952|15230|PITTSBURGH|PA
C00180497|EPPERSON FOR CONGRESS COMMITTEE|A|H|REP|H4NC05021|||36.066545|-80.30733|27103|WINSTON-SALEM|NC
C00180505|PENNSYLVANIANS FOR KANJORSKI|P|H|DEM|H0PA11050|||41.243181|-75.88438|18701|WILKES-BARRE|PA
C00180521|SAWTELLE, GOODE, DAVIDSON & TROILO COMMITTEE FOR CIVIC ACTION|U|N|||C|SAWTELLE, GOODE, DAVIDSON & TROILO, PC|29.463401422222216|-98.49665103333332|78216|SAN ANTONIO|TX
C00180539|MASSACHUSETTS LIBERTARIAN POLITICAL ACTION FUND|U|X|LIB|||LIBERTARIAN PARTY OF MASSACHUSETTS|42.34437557407409|-71.0031983888889|02208|BOSTON|MA
C00180570|22ND CONGRESSIONAL DISTRICT DELEGATES FOR MONDALE|U|D||P40000267|||41.145495|-73.9949|10956|NEW CITY|NY
C00180588|23RD CONGRESSIONAL DEMOCRATIC COMMITTEE DELEGATES FOR WALTER F MONDALE|U|D||P40000267|||42.62976221568628|-73.92296152941177|12207|ALBANY|NY
C00180596|FRED A LOCKWOOD - U S SENATE CAMPAIGN|P|S||S4NE00058|||41.803503|-103.65998|69341|GERING|NE
C00180612|COMMONWEALTH POLITICAL ACTION COMMITTEE, THE|U|Q|||M|NONE|37.53787187272727|-77.48557634545455|23204|RICHMOND|VA
C00180653|CITIZEN ACTION PAC|U|N|||M|CITIZEN ACTION|41.85168971764706|-87.67981902352942|60610|CHICAGO|IL
C00180661|CITIZENS PAC|U|N|||M|NONE|41.85168971764706|-87.67981902352942|60610|CHICAGO|IL
C00180679|DELEGATES AT-LARGE FOR MONDALE|U|D||P40000267|||39.99641823809524|-75.13775460714287|19103|PHILADELPHIA|PA
C00180687|WISCONSIN AT-LARGE DELEGATE MONDALE COMMITTEE|U|D||P40000267|||43.07264378947367|-89.4054060526316|53713|MADISON|WI
C00180695|MONDALE DELEGATE ELECTION COMMITTEE - 6TH C D|U|D||P40000267|||38.028693833333335|-122.60435966666665|94901|SAN RAFAEL|CA
